simulation_id,match_id,stage,team_a,team_b,goals_a,goals_b,winner,went_to_extra_time,went_to_penalties
1,quarter_final_1,quarter_final,JOR,BRA,0,2,BRA,False,False
1,quarter_final_2,quarter_final,TUR,EGY,1,2,EGY,False,False
1,quarter_final_3,quarter_final,BEL,AUT,2,0,BEL,False,False
1,quarter_final_4,quarter_final,CAN,MAR,4,1,CAN,False,False
1,semi_final_1,semi_final,BRA,EGY,5,3,BRA,False,False
1,semi_final_2,semi_final,BEL,CAN,2,0,BEL,False,False
1,final_1,final,BRA,BEL,3,0,BRA,False,False
2,G001,group,MEX,RSA,6,1,MEX,False,False
2,G002,group,KOR,CZE,1,1,,False,False
2,G003,group,CZE,RSA,3,4,RSA,False,False
2,G004,group,MEX,KOR,0,5,KOR,False,False
2,G005,group,CZE,MEX,3,6,MEX,False,False
2,G006,group,RSA,KOR,1,3,KOR,False,False
2,G007,group,CAN,BIH,2,2,,False,False
2,G008,group,QAT,SUI,2,0,QAT,False,False
2,G009,group,SUI,BIH,4,1,SUI,False,False
2,G010,group,CAN,QAT,2,1,CAN,False,False
2,G011,group,SUI,CAN,3,0,SUI,False,False
2,G012,group,BIH,QAT,2,2,,False,False
2,G013,group,BRA,MAR,3,0,BRA,False,False
2,G014,group,HAI,SCO,5,1,HAI,False,False
2,G015,group,SCO,MAR,2,4,MAR,False,False
2,G016,group,BRA,HAI,1,0,BRA,False,False
2,G017,group,SCO,BRA,3,3,,False,False
2,G018,group,MAR,HAI,0,0,,False,False
2,G019,group,USA,PAR,2,2,,False,False
2,G020,group,AUS,TUR,1,3,TUR,False,False
2,G021,group,TUR,PAR,6,0,TUR,False,False
2,G022,group,USA,AUS,2,2,,False,False
2,G023,group,TUR,USA,1,1,,False,False
2,G024,group,PAR,AUS,1,1,,False,False
2,G025,group,CIV,ECU,3,2,CIV,False,False
2,G026,group,GER,CUW,0,0,,False,False
2,G027,group,GER,CIV,1,1,,False,False
2,G028,group,ECU,CUW,6,1,ECU,False,False
2,G029,group,CUW,CIV,3,3,,False,False
2,G030,group,ECU,GER,3,2,ECU,False,False
2,G031,group,NED,JPN,1,2,JPN,False,False
2,G032,group,SWE,TUN,3,3,,False,False
2,G033,group,NED,SWE,2,5,SWE,False,False
2,G034,group,TUN,JPN,4,2,TUN,False,False
2,G035,group,JPN,SWE,0,3,SWE,False,False
2,G036,group,TUN,NED,3,5,NED,False,False
2,G037,group,IRN,NZL,1,0,IRN,False,False
2,G038,group,BEL,EGY,2,1,BEL,False,False
2,G039,group,BEL,IRN,4,2,BEL,False,False
2,G040,group,NZL,EGY,0,2,EGY,False,False
2,G041,group,EGY,IRN,2,3,IRN,False,False
2,G042,group,NZL,BEL,2,2,,False,False
2,G043,group,KSA,URU,1,3,URU,False,False
2,G044,group,ESP,CPV,2,1,ESP,False,False
2,G045,group,URU,CPV,2,1,URU,False,False
2,G046,group,ESP,KSA,2,2,,False,False
2,G047,group,CPV,KSA,0,3,KSA,False,False
2,G048,group,URU,ESP,1,3,ESP,False,False
2,G049,group,FRA,SEN,5,2,FRA,False,False
2,G050,group,IRQ,NOR,3,6,NOR,False,False
2,G051,group,NOR,SEN,1,1,,False,False
2,G052,group,FRA,IRQ,4,1,FRA,False,False
2,G053,group,NOR,FRA,2,1,NOR,False,False
2,G054,group,SEN,IRQ,1,1,,False,False
2,G055,group,ARG,ALG,2,2,,False,False
2,G056,group,AUT,JOR,2,1,AUT,False,False
2,G057,group,ARG,AUT,1,1,,False,False
2,G058,group,JOR,ALG,2,1,JOR,False,False
2,G059,group,ALG,AUT,0,2,AUT,False,False
2,G060,group,JOR,ARG,1,2,ARG,False,False
2,G061,group,POR,COD,3,1,POR,False,False
2,G062,group,UZB,COL,4,3,UZB,False,False
2,G063,group,POR,UZB,4,1,POR,False,False
2,G064,group,COL,COD,1,1,,False,False
2,G065,group,COL,POR,1,5,POR,False,False
2,G066,group,COD,UZB,3,2,COD,False,False
2,G067,group,GHA,PAN,1,1,,False,False
2,G068,group,ENG,CRO,1,1,,False,False
2,G069,group,ENG,GHA,1,4,GHA,False,False
2,G070,group,PAN,CRO,0,2,CRO,False,False
2,G071,group,PAN,ENG,1,5,ENG,False,False
2,G072,group,CRO,GHA,1,0,CRO,False,False
2,round_of_32_1,round_of_32,POR,UZB,3,0,POR,False,False
2,round_of_32_2,round_of_32,TUR,NED,3,4,NED,True,False
2,round_of_32_3,round_of_32,KOR,JOR,2,1,KOR,False,False
2,round_of_32_4,round_of_32,SWE,EGY,1,2,EGY,False,False
2,round_of_32_5,round_of_32,NOR,CAN,4,2,NOR,False,False
2,round_of_32_6,round_of_32,BRA,MAR,2,0,BRA,False,False
2,round_of_32_7,round_of_32,BEL,KSA,4,2,BEL,False,False
2,round_of_32_8,round_of_32,ESP,ENG,3,1,ESP,False,False
2,round_of_32_9,round_of_32,AUT,USA,3,0,AUT,False,False
2,round_of_32_10,round_of_32,CRO,COD,3,0,CRO,False,False
2,round_of_32_11,round_of_32,ECU,TUN,0,1,TUN,False,False
2,round_of_32_12,round_of_32,SUI,QAT,5,1,SUI,False,False
2,round_of_32_13,round_of_32,FRA,GHA,2,1,FRA,False,False
2,round_of_32_14,round_of_32,MEX,HAI,1,0,MEX,False,False
2,round_of_32_15,round_of_32,URU,ARG,0,2,ARG,False,False
2,round_of_32_16,round_of_32,IRN,CIV,3,2,IRN,False,False
2,round_of_16_1,round_of_16,POR,NED,2,3,NED,True,False
2,round_of_16_2,round_of_16,KOR,EGY,4,1,KOR,False,False
2,round_of_16_3,round_of_16,NOR,BRA,1,2,BRA,False,False
2,round_of_16_4,round_of_16,BEL,ESP,5,1,BEL,False,False
2,round_of_16_5,round_of_16,AUT,CRO,7,2,AUT,False,False
2,round_of_16_6,round_of_16,TUN,SUI,2,1,TUN,False,False
2,round_of_16_7,round_of_16,FRA,MEX,3,1,FRA,False,False
2,round_of_16_8,round_of_16,ARG,IRN,3,5,IRN,False,False
2,quarter_final_1,quarter_final,NED,KOR,3,1,NED,False,False
2,quarter_final_2,quarter_final,BRA,BEL,2,3,BEL,False,False
2,quarter_final_3,quarter_final,AUT,TUN,2,0,AUT,False,False
2,quarter_final_4,quarter_final,FRA,IRN,1,1,FRA,True,True
2,semi_final_1,semi_final,NED,BEL,0,2,BEL,False,False
2,semi_final_2,semi_final,AUT,FRA,3,1,AUT,False,False
2,final_1,final,BEL,AUT,0,0,BEL,True,True
3,G001,group,MEX,RSA,3,0,MEX,False,False
3,G002,group,KOR,CZE,3,0,KOR,False,False
3,G003,group,CZE,RSA,4,1,CZE,False,False
3,G004,group,MEX,KOR,0,6,KOR,False,False
3,G005,group,CZE,MEX,1,3,MEX,False,False
3,G006,group,RSA,KOR,1,1,,False,False
3,G007,group,CAN,BIH,1,0,CAN,False,False
3,G008,group,QAT,SUI,1,2,SUI,False,False
3,G009,group,SUI,BIH,1,4,BIH,False,False
3,G010,group,CAN,QAT,3,2,CAN,False,False
3,G011,group,SUI,CAN,1,1,,False,False
3,G012,group,BIH,QAT,2,0,BIH,False,False
3,G013,group,BRA,MAR,1,2,MAR,False,False
3,G014,group,HAI,SCO,1,3,SCO,False,False
3,G015,group,SCO,MAR,0,3,MAR,False,False
3,G016,group,BRA,HAI,3,2,BRA,False,False
3,G017,group,SCO,BRA,0,3,BRA,False,False
3,G018,group,MAR,HAI,2,1,MAR,False,False
3,G019,group,USA,PAR,4,1,USA,False,False
3,G020,group,AUS,TUR,3,0,AUS,False,False
3,G021,group,TUR,PAR,6,0,TUR,False,False
3,G022,group,USA,AUS,3,2,USA,False,False
3,G023,group,TUR,USA,2,3,USA,False,False
3,G024,group,PAR,AUS,1,0,PAR,False,False
3,G025,group,CIV,ECU,1,3,ECU,False,False
3,G026,group,GER,CUW,3,5,CUW,False,False
3,G027,group,GER,CIV,0,4,CIV,False,False
